depdelay,arrdelay,scheduleddepartdatetime,origin,dest,uniquecarrier,marketshareorigin,marketsharedest,hhiorigin,hhidest,nonhubairportorigin,smallhubairportorigin,mediumhubairportorigin,largehubairportorigin,nonhubairportdest,smallhubairportdest,mediumhubairportdest,largehubairportdest,nonhubairlineorigin,smallhubairlineorigin,mediumhubairlineorigin,largehubairlineorigin,nonhubairlinedest,smallhubairlinedest,mediumhubairlinedest,largehubairlinedest,year,month,dayofmonth,dayofweek,scheduledhour,originairportid,destairportid,tailnum,capacity,loadfactor,numflights,origincityname,originstate,distance,monopolyroute,temperature,temp_ninfty_n10,temp_n10_0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_40_infty,windspeed,windspeedsquare,windgustdummy,windgustspeed,raindummy,raintracedummy,snowdummy,snowtracedummy,originmetropop,originmetrogdppercapita,destmetropop,destmetrogdppercapita
-1,-8,15-Jan-2004 19:45:00,ATL,TPA,FL,.13532631,.070051633,.31958899,.15947269,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2004,1,15,4,19,10397,15304,N906AT,100,.65170938,19.555,"Atlanta, GA",GA,406,0,6.77547169811321,0,0,1,0,0,0,0,12.3962264150943,153.666429334283,0,0,0,0,0,0,4802300,49081.773,2578104,37131.785
0,0,28-Jan-2004 08:30:00,DAL,HOU,WN,.93969852,.81221038,.88666952,.66605413,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2004,1,28,3,8,11259,12191,N512,2,.61860466,19.239,"Dallas, TX",TX,239,1,0.205,0,0,1,0,0,0,0,7,49,0,0,0,0,0,0,5689982,50588.563,5190444,53535.344
-4,12,01-Jan-2004 19:10:00,IAH,XNA,XE,.37631497,.17008798,.33230445,.21743019,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2004,1,1,4,19,12266,15919,N14562,55,.42215732,17.209,"Houston, TX",TX,438,1,20.43,0,0,0,0,1,0,0,8.56666666666667,73.3877777777778,0,0,0,0,0,0,5190444,53535.344,397168,39077.668
0,28,25-Jan-2004 12:20:00,ATL,IAH,XE,.0047447169,.37631497,.31958899,.33230445,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,25,7,12,10397,12266,N15980,55,.57490909,18.465,"Atlanta, GA",GA,689,0,6.385,0,0,1,0,0,0,0,19.05,362.9025,0,0,1,0,0,0,4802300,49081.773,5190444,53535.344
168,199,01-Jan-2004 16:00:00,SEA,GEG,AS,.43572426,.17268041,.23471189,.24056163,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2004,1,1,4,16,14747,11884,N319AS,149,.72986192,17.209,"Seattle, WA",WA,224,0,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3163703,57755.547,435011,35514.273
-1,0,22-Jan-2004 07:55:00,JFK,MSY,B6,.38618663,.0069119288,.21435742,.19665706,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2004,1,22,4,7,12478,13495,N554JB,200,.86124897,19.548,"New York, NY",NY,1182,1,NaN,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,0,0,0,18747431,57295.402,1314721,48848.234
-5,0,09-Jan-2004 06:30:00,TUS,IAH,XE,.067515925,.37631497,.19408658,.33230445,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,9,5,6,15376,12266,N31131,55,.71849054,19.615999,"Tucson, AZ",AZ,936,0,6.65,0,0,1,0,0,0,0,6,36,0,0,0,0,0,0,924205,30172.094,5190444,53535.344
0,-14,10-Jan-2004 20:05:00,IAH,LAS,CO,.43008307,.039148137,.33230445,.24511847,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2004,1,10,6,20,12266,12889,N16217,149,.76091009,16.761,"Houston, TX",TX,1222,1,8.52,0,0,1,0,0,0,0,2.4,5.76,0,0,0,0,0,0,5190444,53535.344,1646875,45042.156
-4,18,28-Jan-2004 07:00:00,BOS,LGA,US,.15973936,.12929888,.11621226,.12903389,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,28,3,7,10721,12953,N757UW,179,.42620584,19.239,"Boston, MA",MA,185,0,-3.9,0,1,0,0,0,0,0,12,144,0,0,0,0,0,0,4456479,59670.695,18747431,57295.402
24,5,11-Jan-2004 08:20:00,JFK,MCO,B6,.38618663,.034681402,.21435742,.12420831,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,11,7,8,12478,13204,N566JB,200,.86948943,18.514,"New York, NY",NY,944,0,-11.9783333333333,1,0,0,0,0,0,0,6.96666666666667,48.5344444444444,0,0,0,0,0,0,18747431,57295.402,1866597,43823.492
130,130,06-Jan-2004 17:00:00,PHX,BNA,WN,.37121847,.50592011,.29817489,.28433132,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2004,1,6,2,17,14107,10693,N675,1,.58903033,19.322001,"Phoenix, AZ",AZ,1448,1,21.7,0,0,0,0,1,0,0,3,9,0,0,0,0,0,0,3723359,40701.473,1416452,48838.293
